temp,pressure,yield,yield_noiseless,cost
80,1.0,41.7006,41.6000,1.00
80,1.5,45.8943,46.0000,1.00
80,2.0,50.9123,50.4000,1.00
80,2.5,54.8839,54.8000,1.00
80,3.0,58.7715,59.2000,1.00
80,3.5,63.8893,63.6000,1.00
80,4.0,69.0432,68.0000,1.00
90,1.0,49.4577,48.7000,1.20
90,1.5,52.3370,52.9000,1.20
90,2.0,56.0877,57.1000,1.20
90,2.5,60.8014,61.3000,1.20
90,3.0,65.5331,65.5000,1.20
90,3.5,67.8400,69.7000,1.20
90,4.0,73.7250,73.9000,1.20
100,1.0,53.2033,54.2000,1.40
100,1.5,57.6142,58.2000,1.40
100,2.0,61.7646,62.2000,1.40
100,2.5,65.9470,66.2000,1.40
100,3.0,70.5293,70.2000,1.40
100,3.5,75.0340,74.2000,1.40
100,4.0,78.0972,78.2000,1.40
110,1.0,59.1932,58.1000,1.60
110,1.5,61.3678,61.9000,1.60
110,2.0,65.9812,65.7000,1.60
110,2.5,70.2228,69.5000,1.60
110,3.0,73.3752,73.3000,1.60
110,3.5,76.5052,77.1000,1.60
110,4.0,80.1626,80.9000,1.60
120,1.0,60.0338,60.4000,1.80
120,1.5,64.1762,64.0000,1.80
120,2.0,66.7923,67.6000,1.80
120,2.5,71.0327,71.2000,1.80
120,3.0,74.6726,74.8000,1.80
120,3.5,78.8327,78.4000,1.80
120,4.0,82.1717,82.0000,1.80
130,1.0,61.3843,61.1000,2.00
130,1.5,63.9769,64.5000,2.00
130,2.0,67.7963,67.9000,2.00
130,2.5,71.9272,71.3000,2.00
130,3.0,75.8947,74.7000,2.00
130,3.5,77.0927,78.1000,2.00
130,4.0,82.7111,81.5000,2.00
