metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,0.21702007537961535,0.23766477396610675,0.0914933918500121,0.13682258146150367,0.297217569297727
function_recovery_rmse,uncertainty,0.0941966284741558,0.09240920266042338,0.02060273743691613,0.07613753287299829,0.11225572407531331
function_recovery_rmse,echo_v0,0.11068905906208464,0.11326297187858898,0.038779516588724486,0.0766973140531129,0.14468080407105638
prediction_error,random,0.21702007537961535,0.23766477396610675,0.0914933918500121,0.13682258146150367,0.297217569297727
prediction_error,uncertainty,0.0941966284741558,0.09240920266042338,0.02060273743691613,0.07613753287299829,0.11225572407531331
prediction_error,echo_v0,0.11068905906208464,0.11326297187858898,0.038779516588724486,0.0766973140531129,0.14468080407105638
parameter_recovery_rmse,random,0.02219859105379544,0.009892556665662279,0.02609136422817872,-0.0006714980498508279,0.04506868015744171
parameter_recovery_rmse,uncertainty,0.028904940714615135,0.0317265329532503,0.021158406483380084,0.010358779719190362,0.04745110171003991
parameter_recovery_rmse,echo_v0,0.02551783899133233,0.02495576847887348,0.007866231226290273,0.01862278331383543,0.032412894668829226
probe_entropy,random,-142.89923869810008,-146.2336709463001,13.472486790556168,-154.7083940436435,-131.09008335255666
probe_entropy,uncertainty,-157.76124666529066,-157.85084195962747,7.682871943107823,-164.49558084475893,-151.02691248582238
probe_entropy,echo_v0,-162.56323452503312,-160.25887915653533,9.277150209440032,-170.6950152193006,-154.43145383076566
mean_predictive_std,random,0.16059650433629297,0.13162407310951882,0.052629772393076354,0.11446447484147884,0.2067285338311071
mean_predictive_std,uncertainty,0.08057191023831993,0.07704923565928459,0.025886550154206336,0.05788134858599682,0.10326247189064304
mean_predictive_std,echo_v0,0.04856314656624239,0.043222058908334124,0.022770688020614764,0.02860375849329677,0.068522534639188
total_cost,random,12.0,12.0,0.0,12.0,12.0
total_cost,uncertainty,12.0,12.0,0.0,12.0,12.0
total_cost,echo_v0,12.0,12.0,0.0,12.0,12.0
cost_efficiency_rmse,random,0.018085006281634612,0.019805397830508897,0.007624449320834343,0.011401881788458638,0.024768130774810587
cost_efficiency_rmse,uncertainty,0.007849719039512985,0.007700766888368615,0.0017168947864096775,0.006344794406083192,0.009354643672942777
cost_efficiency_rmse,echo_v0,0.00922408825517372,0.009438580989882416,0.0032316263823937074,0.006391442837759409,0.012056733672588032
discovery_efficiency_rmse,random,0.018085006281634612,0.019805397830508897,0.007624449320834343,0.011401881788458638,0.024768130774810587
discovery_efficiency_rmse,uncertainty,0.007849719039512985,0.007700766888368615,0.0017168947864096775,0.006344794406083192,0.009354643672942777
discovery_efficiency_rmse,echo_v0,0.00922408825517372,0.009438580989882416,0.0032316263823937074,0.006391442837759409,0.012056733672588032
