metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,0.12368190148000752,0.09492825410281548,0.08204134973987355,0.09432378151821728,0.15304002144179774
function_recovery_rmse,uncertainty,0.06518193028227007,0.06639287047479972,0.01817292159432726,0.05867883380818602,0.07168502675635412
function_recovery_rmse,echo_v0,0.06202205555575419,0.06300309781797782,0.019046684595642262,0.0552062870072575,0.06883782410425089
function_recovery_rmse,echo_hypothesis,0.0728931267071556,0.06857423702721521,0.028373145954764444,0.06273992682350579,0.08304632659080541
function_recovery_rmse,echo_falsify,0.07597796750415135,0.07262873452359131,0.031059775285889074,0.06486336966147105,0.08709256534683166
prediction_error,random,0.12368190148000752,0.09492825410281548,0.08204134973987355,0.09432378151821728,0.15304002144179774
prediction_error,uncertainty,0.06518193028227007,0.06639287047479972,0.01817292159432726,0.05867883380818602,0.07168502675635412
prediction_error,echo_v0,0.06202205555575419,0.06300309781797782,0.019046684595642262,0.0552062870072575,0.06883782410425089
prediction_error,echo_hypothesis,0.0728931267071556,0.06857423702721521,0.028373145954764444,0.06273992682350579,0.08304632659080541
prediction_error,echo_falsify,0.07597796750415135,0.07262873452359131,0.031059775285889074,0.06486336966147105,0.08709256534683166
parameter_recovery_rmse,random,0.02269114319884492,0.02083126874775139,0.018236117646259497,0.016165432308011016,0.029216854089678824
parameter_recovery_rmse,uncertainty,0.026601051671177465,0.022447064640204115,0.019922442698229702,0.019471897110446796,0.03373020623190814
parameter_recovery_rmse,echo_v0,0.02310474028961033,0.02218620359734569,0.012093122191291793,0.018777272090583608,0.027432208488637054
parameter_recovery_rmse,echo_hypothesis,0.01967138948385293,0.01786343941286407,0.01279221185362855,0.015093755262009609,0.024249023705696253
parameter_recovery_rmse,echo_falsify,0.021281064783885476,0.01636649345983489,0.01561883153435314,0.01569193769976983,0.026870191868001124
probe_entropy,random,-432.16833320094224,-434.65194320108026,13.086727531788002,-436.8513585046906,-427.4853078971939
probe_entropy,uncertainty,-431.1235982894405,-437.55503723125895,16.760049075064206,-437.12110482573394,-425.1260917531471
probe_entropy,echo_v0,-432.5710475937498,-437.02857338142076,14.771090638897192,-437.85681449444303,-427.2852806930566
probe_entropy,echo_hypothesis,-432.8046326183713,-437.9567239052984,12.675138220565305,-437.3403725786656,-428.26889265807694
probe_entropy,echo_falsify,-432.8378302797466,-437.7175365820408,12.248907286468626,-437.2210454591309,-428.4546151003623
mean_predictive_std,random,0.06969429824573377,0.06520456295713105,0.02105741083770046,0.0621590005523384,0.07722959593912913
mean_predictive_std,uncertainty,0.059565801868325684,0.05513655825771582,0.015998638055230226,0.053840762766215036,0.06529084097043633
mean_predictive_std,echo_v0,0.056474130363024705,0.05689006943370946,0.013367193397990843,0.051690741638010414,0.061257519088038996
mean_predictive_std,echo_hypothesis,0.06343063378754595,0.060447371689879514,0.020327512512751895,0.056156526855293494,0.0707047407197984
mean_predictive_std,echo_falsify,0.06274071745524018,0.05800870790526471,0.019970030970911115,0.0555945336498349,0.06988690126064545
hypothesis_entropy,random,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,uncertainty,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_v0,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_hypothesis,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_falsify,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
correct_hypothesis_prob,random,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,uncertainty,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_v0,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_falsify,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,random,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,uncertainty,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_v0,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_falsify,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,random,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,uncertainty,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_v0,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_falsify,1.0,1.0,0.0,1.0,1.0
total_cost,random,20.0,20.0,0.0,20.0,20.0
total_cost,uncertainty,20.0,20.0,0.0,20.0,20.0
total_cost,echo_v0,20.0,20.0,0.0,20.0,20.0
total_cost,echo_hypothesis,20.0,20.0,0.0,20.0,20.0
total_cost,echo_falsify,20.0,20.0,0.0,20.0,20.0
cost_efficiency_rmse,random,0.006184095074000376,0.004746412705140774,0.004102067486993678,0.0047161890759108635,0.007652001072089888
cost_efficiency_rmse,uncertainty,0.0032590965141135035,0.003319643523739986,0.000908646079716363,0.002933941690409301,0.0035842513378177058
cost_efficiency_rmse,echo_v0,0.0031011027777877094,0.0031501548908988907,0.0009523342297821131,0.002760314350362875,0.003441891205212544
cost_efficiency_rmse,echo_hypothesis,0.00364465633535778,0.003428711851360761,0.001418657297738222,0.00313699634117529,0.004152316329540271
cost_efficiency_rmse,echo_falsify,0.0037988983752075675,0.0036314367261795653,0.001552988764294454,0.003243168483073552,0.004354628267341583
discovery_efficiency_rmse,random,0.006184095074000376,0.004746412705140774,0.004102067486993678,0.0047161890759108635,0.007652001072089888
discovery_efficiency_rmse,uncertainty,0.0032590965141135035,0.003319643523739986,0.000908646079716363,0.002933941690409301,0.0035842513378177058
discovery_efficiency_rmse,echo_v0,0.0031011027777877094,0.0031501548908988907,0.0009523342297821131,0.002760314350362875,0.003441891205212544
discovery_efficiency_rmse,echo_hypothesis,0.00364465633535778,0.003428711851360761,0.001418657297738222,0.00313699634117529,0.004152316329540271
discovery_efficiency_rmse,echo_falsify,0.0037988983752075675,0.0036314367261795653,0.001552988764294454,0.003243168483073552,0.004354628267341583
