metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,0.12368229229704482,0.09492772933518777,0.08204119133647693,0.09432422901918208,0.15304035557490756
function_recovery_rmse,uncertainty,0.06518190954176846,0.06639257307924054,0.018172889653457074,0.05867882449757802,0.07168499458595891
function_recovery_rmse,echo_hypothesis,0.07289316728751354,0.0685742080181843,0.02837315039733931,0.06273996581410872,0.08304636876091835
function_recovery_rmse,echo_falsify,0.07597813950361648,0.07262874669607172,0.031059576781628854,0.06486361269477342,0.08709266631245954
function_recovery_rmse,echo_no_sequential,0.641937199254093,0.6214296005075279,0.3122879204765846,0.5301864021129085,0.7536879963952775
prediction_error,random,0.12368229229704482,0.09492772933518777,0.08204119133647693,0.09432422901918208,0.15304035557490756
prediction_error,uncertainty,0.06518190954176846,0.06639257307924054,0.018172889653457074,0.05867882449757802,0.07168499458595891
prediction_error,echo_hypothesis,0.07289316728751354,0.0685742080181843,0.02837315039733931,0.06273996581410872,0.08304636876091835
prediction_error,echo_falsify,0.07597813950361648,0.07262874669607172,0.031059576781628854,0.06486361269477342,0.08709266631245954
prediction_error,echo_no_sequential,0.641937199254093,0.6214296005075279,0.3122879204765846,0.5301864021129085,0.7536879963952775
parameter_recovery_rmse,random,0.02269114319884492,0.02083126874775139,0.018236117646259497,0.016165432308011016,0.029216854089678824
parameter_recovery_rmse,uncertainty,0.026601051671177465,0.022447064640204115,0.019922442698229702,0.019471897110446796,0.03373020623190814
parameter_recovery_rmse,echo_hypothesis,0.01967138948385293,0.01786343941286407,0.01279221185362855,0.015093755262009609,0.024249023705696253
parameter_recovery_rmse,echo_falsify,0.021281064783885476,0.01636649345983489,0.01561883153435314,0.01569193769976983,0.026870191868001124
parameter_recovery_rmse,echo_no_sequential,0.04254784983303816,0.036774849704399176,0.03199256736803715,0.031099456630652774,0.05399624303542354
probe_entropy,random,-432.16829376783096,-434.65145334544684,13.086728979649116,-436.85131958968975,-427.48526794597217
probe_entropy,uncertainty,-431.1236300545798,-437.55500948909713,16.760081871931337,-437.1211483270814,-425.12611178207817
probe_entropy,echo_hypothesis,-432.80470758019896,-437.9566767936856,12.675213803021833,-437.340474587328,-428.2689405730699
probe_entropy,echo_falsify,-432.83755486351646,-437.717614696181,12.248646727760946,-437.22067680316474,-428.4544329238682
probe_entropy,echo_no_sequential,-383.5019109265759,-407.3806977016783,61.6376800387177,-405.5586714562437,-361.44515039690805
mean_predictive_std,random,0.06969441087275162,0.06520427671160034,0.021057426639115664,0.06215910752489244,0.0772297142206108
mean_predictive_std,uncertainty,0.059565720975802504,0.055136443392040435,0.015998660149552837,0.05384067396734005,0.06529076798426496
mean_predictive_std,echo_hypothesis,0.06343067611153239,0.060447321135655166,0.02032741620151422,0.05615660364381371,0.07070474857925106
mean_predictive_std,echo_falsify,0.06274091397104795,0.05800909750295284,0.019969804671121687,0.0555948111459823,0.0698870167961136
mean_predictive_std,echo_no_sequential,0.47166076232477566,0.39144012472996864,0.3793211154438026,0.33592244443326896,0.6073990802162823
hypothesis_entropy,random,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,uncertainty,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_hypothesis,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_falsify,6.907755278982139e-14,6.907755278982138e-14,1.283754694232744e-29,6.907755278982139e-14,6.907755278982139e-14
hypothesis_entropy,echo_no_sequential,1.683781063910788e-08,6.907755278982138e-14,9.22240594451804e-08,-1.6164145193402935e-08,4.9839766471618694e-08
correct_hypothesis_prob,random,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,uncertainty,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_falsify,1.0,1.0,0.0,1.0,1.0
correct_hypothesis_prob,echo_no_sequential,0.999999999085473,1.0,5.009069434101806e-09,0.9999999972930005,1.0000000008779455
hypothesis_identified,random,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,uncertainty,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_falsify,1.0,1.0,0.0,1.0,1.0
hypothesis_identified,echo_no_sequential,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,random,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,uncertainty,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_hypothesis,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_falsify,1.0,1.0,0.0,1.0,1.0
leading_hypothesis_correct,echo_no_sequential,1.0,1.0,0.0,1.0,1.0
total_cost,random,20.0,20.0,0.0,20.0,20.0
total_cost,uncertainty,20.0,20.0,0.0,20.0,20.0
total_cost,echo_hypothesis,20.0,20.0,0.0,20.0,20.0
total_cost,echo_falsify,20.0,20.0,0.0,20.0,20.0
total_cost,echo_no_sequential,20.0,20.0,0.0,20.0,20.0
cost_efficiency_rmse,random,0.0061841146148522395,0.004746386466759388,0.0041020595668238465,0.004716211450959103,0.007652017778745376
cost_efficiency_rmse,uncertainty,0.003259095477088424,0.003319628653962027,0.000908644482672854,0.0029339412248789018,0.003584249729297946
cost_efficiency_rmse,echo_hypothesis,0.003644658364375677,0.003428710400909215,0.0014186575198669655,0.0031369982907054365,0.004152318438045918
cost_efficiency_rmse,echo_falsify,0.003798906975180825,0.0036314373348035863,0.0015529788390814428,0.003243180634738672,0.004354633315622978
cost_efficiency_rmse,echo_no_sequential,0.032096859962704644,0.031071480025376394,0.015614396023829231,0.02650932010564542,0.03768439981976387
discovery_efficiency_rmse,random,0.0061841146148522395,0.004746386466759388,0.0041020595668238465,0.004716211450959103,0.007652017778745376
discovery_efficiency_rmse,uncertainty,0.003259095477088424,0.003319628653962027,0.000908644482672854,0.0029339412248789018,0.003584249729297946
discovery_efficiency_rmse,echo_hypothesis,0.003644658364375677,0.003428710400909215,0.0014186575198669655,0.0031369982907054365,0.004152318438045918
discovery_efficiency_rmse,echo_falsify,0.003798906975180825,0.0036314373348035863,0.0015529788390814428,0.003243180634738672,0.004354633315622978
discovery_efficiency_rmse,echo_no_sequential,0.032096859962704644,0.031071480025376394,0.015614396023829231,0.02650932010564542,0.03768439981976387
