metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,0.753683985867284,0.7009378545516238,0.20092164146672775,0.6817850998567199,0.8255828718778482
function_recovery_rmse,uncertainty,0.6949579303677397,0.6633296421647867,0.12928847965283896,0.6486926421032201,0.7412232186322593
function_recovery_rmse,echo_v0,0.6943900626754462,0.6787701126505078,0.10513604805510908,0.6567676110593157,0.7320125142915768
prediction_error,random,0.753683985867284,0.7009378545516238,0.20092164146672775,0.6817850998567199,0.8255828718778482
prediction_error,uncertainty,0.6949579303677397,0.6633296421647867,0.12928847965283896,0.6486926421032201,0.7412232186322593
prediction_error,echo_v0,0.6943900626754462,0.6787701126505078,0.10513604805510908,0.6567676110593157,0.7320125142915768
parameter_recovery_rmse,random,0.09951042626180932,0.03133895850537728,0.10372322045370518,0.062393548509819964,0.1366273040137987
parameter_recovery_rmse,uncertainty,0.019216844224595894,0.011565319460180308,0.021826142985002264,0.011406459265199557,0.02702722918399223
parameter_recovery_rmse,echo_v0,0.020234246280424792,0.012549560369448954,0.02068187813236423,0.012833331239774572,0.027635161321075012
probe_entropy,random,-328.9975771114201,-369.83788454687914,99.70570501100104,-364.6768054257878,-293.31834879705247
probe_entropy,uncertainty,-389.04072203225286,-404.70989177749465,51.43095667288635,-407.4450535131425,-370.6363905513632
probe_entropy,echo_v0,-387.35533327599353,-404.164969438562,50.85757253943956,-405.554481879867,-369.15618467212005
mean_predictive_std,random,0.2893532783536819,0.10330734026409055,0.26364831858890336,0.1950079392119073,0.38369861749545653
mean_predictive_std,uncertainty,0.09894570759816142,0.057967517618678965,0.12940019703677852,0.05264044178122568,0.14525097341509716
mean_predictive_std,echo_v0,0.10835213275332828,0.05700928557864577,0.13824350051690407,0.058882331427759116,0.15782193407889744
anomaly_hit_rate,random,0.030000000000000002,0.0,0.03850660489694794,0.016220588404868445,0.04377941159513156
anomaly_hit_rate,uncertainty,0.005000000000000001,0.0,0.015256428831468234,-0.00045944294240532393,0.010459442942405327
anomaly_hit_rate,echo_v0,0.006666666666666667,0.0,0.01728729518208802,0.0004804875340730756,0.012852845799260259
anomaly_recall,random,0.010297471353428015,0.0,0.013547528996595963,0.005449550363232603,0.015145392343623427
anomaly_recall,uncertainty,0.0019152635325142063,0.0,0.0058516817043344,-0.00017873387243788836,0.004009260937466301
anomaly_recall,echo_v0,0.0021240383653491897,0.0,0.005592409142399655,0.0001228204551301207,0.004125256275568258
total_cost,random,20.0,20.0,0.0,20.0,20.0
total_cost,uncertainty,20.0,20.0,0.0,20.0,20.0
total_cost,echo_v0,20.0,20.0,0.0,20.0,20.0
cost_efficiency_rmse,random,0.0376841992933642,0.035046892727581186,0.010046082073336387,0.03408925499283599,0.04127914359389241
cost_efficiency_rmse,uncertainty,0.03474789651838698,0.03316648210823933,0.006464423982641947,0.032434632105160996,0.03706116093161296
cost_efficiency_rmse,echo_v0,0.034719503133772305,0.03393850563252539,0.005256802402755454,0.03283838055296578,0.03660062571457883
discovery_efficiency_rmse,random,0.0376841992933642,0.035046892727581186,0.010046082073336387,0.03408925499283599,0.04127914359389241
discovery_efficiency_rmse,uncertainty,0.03474789651838698,0.03316648210823933,0.006464423982641947,0.032434632105160996,0.03706116093161296
discovery_efficiency_rmse,echo_v0,0.034719503133772305,0.03393850563252539,0.005256802402755454,0.03283838055296578,0.03660062571457883
