metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,1.402821992578004,1.402821992578004,0.2823798058059645,1.0114635484891499,1.7941804366668583
function_recovery_rmse,uncertainty,1.5719591174192522,1.5719591174192522,0.4040483786658439,1.0119766343944379,2.1319416004440663
function_recovery_rmse,echo_v0,1.6156695836881516,1.6156695836881516,0.4610378013295657,0.9767037905093462,2.254635376866957
prediction_error,random,1.402821992578004,1.402821992578004,0.2823798058059645,1.0114635484891499,1.7941804366668583
prediction_error,uncertainty,1.5719591174192522,1.5719591174192522,0.4040483786658439,1.0119766343944379,2.1319416004440663
prediction_error,echo_v0,1.6156695836881516,1.6156695836881516,0.4610378013295657,0.9767037905093462,2.254635376866957
parameter_recovery_rmse,random,1.2088300458836865,1.2088300458836865,0.4312929400563503,0.6110885272038987,1.8065715645634741
parameter_recovery_rmse,uncertainty,1.0803762409110995,1.0803762409110995,0.10631649250556398,0.9330290998178996,1.2277233820042994
parameter_recovery_rmse,echo_v0,1.466478188142085,1.466478188142085,0.39626973536754884,0.9172763547095958,2.0156800215745743
probe_entropy,random,-4.125404915131725,-4.125404915131725,1.7740874445473913,-6.584164669548176,-1.6666451607152726
probe_entropy,uncertainty,13.970742969767533,13.970742969767533,26.672530911393427,-22.995498888786493,50.93698482832156
probe_entropy,echo_v0,-20.740727143135356,-20.740727143135356,29.167167501650376,-61.164358922840265,19.68290463656955
mean_predictive_std,random,0.4573034072065464,0.4573034072065464,0.39790926413036887,-0.09417069716197801,1.0087775115750708
mean_predictive_std,uncertainty,1.1917903477648024,1.1917903477648024,0.9833848819514245,-0.17111156458179955,2.5546922601114046
mean_predictive_std,echo_v0,0.3407460539297402,0.3407460539297402,0.22465356108746656,0.029392103262938563,0.6521000045965419
hypothesis_entropy,random,nan,nan,0.0,nan,nan
hypothesis_entropy,uncertainty,nan,nan,0.0,nan,nan
hypothesis_entropy,echo_v0,nan,nan,0.0,nan,nan
correct_hypothesis_prob,random,nan,nan,0.0,nan,nan
correct_hypothesis_prob,uncertainty,nan,nan,0.0,nan,nan
correct_hypothesis_prob,echo_v0,nan,nan,0.0,nan,nan
hypothesis_identified,random,nan,nan,0.0,nan,nan
hypothesis_identified,uncertainty,nan,nan,0.0,nan,nan
hypothesis_identified,echo_v0,nan,nan,0.0,nan,nan
leading_hypothesis_correct,random,nan,nan,0.0,nan,nan
leading_hypothesis_correct,uncertainty,nan,nan,0.0,nan,nan
leading_hypothesis_correct,echo_v0,nan,nan,0.0,nan,nan
structural_hamming_distance,random,nan,nan,0.0,nan,nan
structural_hamming_distance,uncertainty,nan,nan,0.0,nan,nan
structural_hamming_distance,echo_v0,nan,nan,0.0,nan,nan
parent_set_f1,random,nan,nan,0.0,nan,nan
parent_set_f1,uncertainty,nan,nan,0.0,nan,nan
parent_set_f1,echo_v0,nan,nan,0.0,nan,nan
region_coverage,random,1.0,1.0,0.0,1.0,1.0
region_coverage,uncertainty,1.0,1.0,0.0,1.0,1.0
region_coverage,echo_v0,1.0,1.0,0.0,1.0,1.0
mean_region_rmse,random,1.2182606177316033,1.2182606177316033,0.31924527144592557,0.7758092449813414,1.6607119904818652
mean_region_rmse,uncertainty,1.2605983252958461,1.2605983252958461,0.1603307991216281,1.0383911745236019,1.4828054760680904
mean_region_rmse,echo_v0,1.3315790586242664,1.3315790586242664,0.31829305326228136,0.8904473929462595,1.7727107243022733
anomaly_hit_rate,random,nan,nan,0.0,nan,nan
anomaly_hit_rate,uncertainty,nan,nan,0.0,nan,nan
anomaly_hit_rate,echo_v0,nan,nan,0.0,nan,nan
anomaly_recall,random,nan,nan,0.0,nan,nan
anomaly_recall,uncertainty,nan,nan,0.0,nan,nan
anomaly_recall,echo_v0,nan,nan,0.0,nan,nan
total_cost,random,6.0,6.0,0.0,6.0,6.0
total_cost,uncertainty,6.0,6.0,0.0,6.0,6.0
total_cost,echo_v0,6.0,6.0,0.0,6.0,6.0
cost_efficiency_rmse,random,0.23380366542966735,0.23380366542966735,0.047063300967660766,0.16857725808152493,0.2990300727778098
cost_efficiency_rmse,uncertainty,0.26199318623654205,0.26199318623654205,0.06734139644430731,0.168662772399073,0.3553236000740111
cost_efficiency_rmse,echo_v0,0.26927826394802523,0.26927826394802523,0.07683963355492762,0.16278396508489099,0.37577256281115945
discovery_efficiency_rmse,random,0.23380366542966735,0.23380366542966735,0.047063300967660766,0.16857725808152493,0.2990300727778098
discovery_efficiency_rmse,uncertainty,0.26199318623654205,0.26199318623654205,0.06734139644430731,0.168662772399073,0.3553236000740111
discovery_efficiency_rmse,echo_v0,0.26927826394802523,0.26927826394802523,0.07683963355492762,0.16278396508489099,0.37577256281115945
