metric,algorithm,mean,median,std,ci_low,ci_high
function_recovery_rmse,random,1.6436692008256553,1.6436692008256553,0.11507076758594005,1.4841892534759908,1.8031491481753197
function_recovery_rmse,uncertainty,0.34832988059623715,0.34832988059623715,0.2683537736845511,-0.02358947473728129,0.7202492359297556
function_recovery_rmse,echo_v0,0.6227544512239283,0.6227544512239283,0.5321870730498929,-0.11481920167433524,1.3603281041221917
prediction_error,random,1.6436692008256553,1.6436692008256553,0.11507076758594005,1.4841892534759908,1.8031491481753197
prediction_error,uncertainty,0.34832988059623715,0.34832988059623715,0.2683537736845511,-0.02358947473728129,0.7202492359297556
prediction_error,echo_v0,0.6227544512239283,0.6227544512239283,0.5321870730498929,-0.11481920167433524,1.3603281041221917
parameter_recovery_rmse,random,0.03994692495661945,0.03994692495661945,0.01488116000169052,0.019322689424349386,0.06057116048888952
parameter_recovery_rmse,uncertainty,0.017116372980519406,0.017116372980519406,0.007367112224922257,0.006906076356989917,0.027326669604048896
parameter_recovery_rmse,echo_v0,0.042584564536509606,0.042584564536509606,0.00937454327788849,0.029592110416759042,0.05557701865626017
probe_entropy,random,6.388233673936692,6.388233673936692,2.032066291557224,3.5719334789584942,9.20453386891489
probe_entropy,uncertainty,-19.125243448789067,-19.125243448789067,2.7823970155854933,-22.981448972229547,-15.269037925348588
probe_entropy,echo_v0,-28.09624590516743,-28.09624590516743,27.176983940269288,-65.76162399243756,9.569132182102699
mean_predictive_std,random,0.508951920391141,0.508951920391141,0.04441978655038709,0.4473892371054111,0.5705146036768709
mean_predictive_std,uncertainty,0.33809022483896733,0.33809022483896733,0.12207847609392943,0.16889808900441017,0.5072823606735245
mean_predictive_std,echo_v0,0.2134876850854677,0.2134876850854677,0.14957167577362546,0.006191918508053951,0.42078345166288145
hypothesis_entropy,random,nan,nan,0.0,nan,nan
hypothesis_entropy,uncertainty,nan,nan,0.0,nan,nan
hypothesis_entropy,echo_v0,nan,nan,0.0,nan,nan
correct_hypothesis_prob,random,nan,nan,0.0,nan,nan
correct_hypothesis_prob,uncertainty,nan,nan,0.0,nan,nan
correct_hypothesis_prob,echo_v0,nan,nan,0.0,nan,nan
hypothesis_identified,random,nan,nan,0.0,nan,nan
hypothesis_identified,uncertainty,nan,nan,0.0,nan,nan
hypothesis_identified,echo_v0,nan,nan,0.0,nan,nan
leading_hypothesis_correct,random,nan,nan,0.0,nan,nan
leading_hypothesis_correct,uncertainty,nan,nan,0.0,nan,nan
leading_hypothesis_correct,echo_v0,nan,nan,0.0,nan,nan
structural_hamming_distance,random,3.0,3.0,0.0,3.0,3.0
structural_hamming_distance,uncertainty,1.0,1.0,0.0,1.0,1.0
structural_hamming_distance,echo_v0,3.0,3.0,0.0,3.0,3.0
parent_set_f1,random,0.6190476190476191,0.6190476190476191,0.0673435029701473,0.5257142857142859,0.7123809523809522
parent_set_f1,uncertainty,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
parent_set_f1,echo_v0,0.5714285714285715,0.5714285714285715,0.0,0.5714285714285715,0.5714285714285715
region_coverage,random,nan,nan,0.0,nan,nan
region_coverage,uncertainty,nan,nan,0.0,nan,nan
region_coverage,echo_v0,nan,nan,0.0,nan,nan
mean_region_rmse,random,nan,nan,0.0,nan,nan
mean_region_rmse,uncertainty,nan,nan,0.0,nan,nan
mean_region_rmse,echo_v0,nan,nan,0.0,nan,nan
anomaly_hit_rate,random,nan,nan,0.0,nan,nan
anomaly_hit_rate,uncertainty,nan,nan,0.0,nan,nan
anomaly_hit_rate,echo_v0,nan,nan,0.0,nan,nan
anomaly_recall,random,nan,nan,0.0,nan,nan
anomaly_recall,uncertainty,nan,nan,0.0,nan,nan
anomaly_recall,echo_v0,nan,nan,0.0,nan,nan
total_cost,random,6.0,6.0,0.0,6.0,6.0
total_cost,uncertainty,6.0,6.0,0.0,6.0,6.0
total_cost,echo_v0,6.0,6.0,0.0,6.0,6.0
cost_efficiency_rmse,random,0.2739448668042759,0.2739448668042759,0.01917846126432337,0.2473648755793318,0.30052485802921997
cost_efficiency_rmse,uncertainty,0.05805498009937286,0.05805498009937286,0.04472562894742519,-0.003931579122880224,0.12004153932162595
cost_efficiency_rmse,echo_v0,0.10379240853732138,0.10379240853732138,0.08869784550831547,-0.019136533612389206,0.22672135068703198
discovery_efficiency_rmse,random,0.2739448668042759,0.2739448668042759,0.01917846126432337,0.2473648755793318,0.30052485802921997
discovery_efficiency_rmse,uncertainty,0.05805498009937286,0.05805498009937286,0.04472562894742519,-0.003931579122880224,0.12004153932162595
discovery_efficiency_rmse,echo_v0,0.10379240853732138,0.10379240853732138,0.08869784550831547,-0.019136533612389206,0.22672135068703198
